parameterType,parameterType & Tube#,,,Tube/Filter#,MULakeNumber,Depth,Date,Time,beginDepth,endDepth,Replicate,unit,parameterValue,Rerun?,still too high?,waterBody,samplingSite,parameterValueQCCodeDesc,
TN,TN332 ,,,332,030,EPI,2024-06-07,8:44:00 AM,0,5.75,,ug/L,470,,,Wappapello,Wappapello 1,,
TN,TN333 ,,,333,030,EPI,2024-06-07,8:44:00 AM,0,5.75,,ug/L,430,,,Wappapello,Wappapello 1,,
TN,TN328 ,,,328,030,SURF,2024-06-07,8:44:00 AM,0,0,,ug/L,450,,,Wappapello,Wappapello 1,,
TN,TN329 ,,,329,030,SURF,2024-06-07,8:44:00 AM,0,0,,ug/L,420,,,Wappapello,Wappapello 1,,
TN,TN330 ,,,330,030,SURF,2024-06-07,8:44:00 AM,0,0,,ug/L,410,,,Wappapello,Wappapello 1,,
TN,TN691 ,,,691,030,EPI,2024-06-28,2:40:00 PM,0,0,,ug/L,710,,,Wappapello,Wappapello 1,,
TN,TN692 ,,,692,030,EPI,2024-06-28,2:40:00 PM,0,0,,ug/L,690,,,Wappapello,Wappapello 1,,
TN,TN693 ,,,693,030,EPI,2024-06-28,2:40:00 PM,0,0,,ug/L,710,,,Wappapello,Wappapello 1,,
TN,TN688 ,,,688,030,SURF,2024-06-28,2:40:00 PM,0,0,,ug/L,670,,,Wappapello,Wappapello 1,,
TN,TN689 ,,,689,030,SURF,2024-06-28,2:40:00 PM,0,0,,ug/L,690,,,Wappapello,Wappapello 1,,
TN,TN690 ,,,690,030,SURF,2024-06-28,2:40:00 PM,0,0,,ug/L,650,,,Wappapello,Wappapello 1,,
TN,TN1069 ,,,1069,030,EPI,2024-07-24,7:45:00 AM,0,0.753,,ug/L,650,,,Wappapello,Wappapello 1,,
TN,TN1070 ,,,1070,030,EPI,2024-07-24,7:45:00 AM,0,0.753,,ug/L,630,,,Wappapello,Wappapello 1,,
TN,TN1071 ,,,1071,030,EPI,2024-07-24,7:45:00 AM,0,0.753,,ug/L,680,,,Wappapello,Wappapello 1,,
TN,TN1066 ,,,1066,030,SURF,2024-07-24,7:45:00 AM,0,0,,ug/L,630,,,Wappapello,Wappapello 1,,
TN,TN1067 ,,,1067,030,SURF,2024-07-24,7:45:00 AM,0,0,,ug/L,650,,,Wappapello,Wappapello 1,,
TN,TN1068 ,,,1068,030,SURF,2024-07-24,7:45:00 AM,0,0,,ug/L,630,,,Wappapello,Wappapello 1,,
TN,TN1450 ,,,1450,030,EPI,2024-08-14,7:41:00 AM,0,1.589,,ug/L,870,,,Wappapello,Wappapello 1,,
TN,TN1451 ,,,1451,030,EPI,2024-08-14,7:41:00 AM,0,1.589,,ug/L,900,,,Wappapello,Wappapello 1,,
TN,TN1452 ,,,1452,030,EPI,2024-08-14,7:41:00 AM,0,1.589,,ug/L,880,,,Wappapello,Wappapello 1,,
TN,TN1486 ,,,1486,030,SURF,2024-08-14,7:41:00 AM,0,0,,ug/L,860,,,Wappapello,Wappapello 1,,
TN,TN1487 ,,,1487,030,SURF,2024-08-14,7:41:00 AM,0,0,,ug/L,840,,,Wappapello,Wappapello 1,,
TN,TN1488 ,,,1488,030,SURF,2024-08-14,7:41:00 AM,0,0,,ug/L,870,,,Wappapello,Wappapello 1,,
